mes,municipio,repasse_sefaz,repasse_liquido_sefaz,fundeb_sefaz
Janeiro,Meruoca,1117581.75,894066.67,223515.08
Janeiro,Milagres,864684.44,691749.34,172935.1
Janeiro,Milhã,1567046.26,1253638.47,313407.79
Janeiro,Miraíma,835418.94,668337.16,167081.78
Janeiro,Missão Velha,1040839.66,832673.11,208166.55
Janeiro,Mombaça,1280993.39,1024796.09,256197.3
Janeiro,Monsenhor Tabosa,951820.11,761457.69,190362.42
Janeiro,Morada Nova,3325865.67,2660693.39,665172.28
Janeiro,Moraújo,1083836.59,867070.38,216766.21
Janeiro,Morrinhos,1226911.47,981530.25,245381.22
Janeiro,Mucambo,1135237.53,908191.82,227045.71
Janeiro,Mulungu,820230.83,656186.14,164044.69
Janeiro,Nova Olinda,1089026.87,871222.47,217804.4
Janeiro,Nova Russas,1366956.74,1093566.81,273389.93
Janeiro,Novo Oriente,1179000.53,943202.1,235798.43
Janeiro,Ocara,943681.11,754946.02,188735.09
Janeiro,Orós,956537.61,765231.16,191306.45
Janeiro,Pacajus,3235072.06,2588057.96,647014.1
Janeiro,Pacatuba,3299552.05,2639642.1,659909.95
Janeiro,Pacoti,923419.01,738736.5,184682.51
Janeiro,Pacujá,1072939.48,858352.65,214586.83
Janeiro,Palhano,798684.39,638948.94,159735.45
Janeiro,Palmácia,884478.27,707583.67,176894.6
Janeiro,Paracuru,1695267.89,1356215.43,339052.46
Janeiro,Paraipaba,1545747.12,1236598.71,309148.41
Janeiro,Parambu,1141195.87,912958.2,228237.67
Janeiro,Paramoti,1291754.55,1033404.95,258349.6
Janeiro,Pedra Branca,1652860.56,1322289.91,330570.65
Janeiro,Penaforte,823541.39,658834.63,164706.76
Janeiro,Pentecoste,1202862.7,962291.21,240571.49
Janeiro,Pereiro,1288105.75,1030485.66,257620.09
Janeiro,Pindoretama,1039335.15,831469.9,207865.25
Janeiro,Piquet Carneiro,1430231.22,1144185.75,286045.47
Janeiro,Pires Ferreira,988583.81,790869.02,197714.79
Janeiro,Poranga,1147057.05,917647.23,229409.82
Janeiro,Porteiras,1055825.81,844662.3,211163.51
Janeiro,Potengi,982823.95,786260.66,196563.29
Janeiro,Potiretama,1258091.57,1006474.7,251616.87
Janeiro,Quiterianópolis,1231191.94,984954.61,246237.33
Janeiro,Quixadá,2465597.86,1972479.93,493117.93
Janeiro,Quixelô,1027819.86,822257.15,205562.71
Janeiro,Quixeramobim,3619440.81,2895553.77,723887.04
Janeiro,Quixeré,3589702.5,2871763.34,717939.16
Janeiro,Redenção,1111524.55,889220.97,222303.58
Janeiro,Reriutaba,1211509.03,969208.87,242300.16
Janeiro,Russas,2599243.6,2079396.54,519847.06
Janeiro,Saboeiro,718091.24,574474.62,143616.62
Janeiro,Salitre,1080978.4,864784.35,216194.05
Janeiro,Santa Quitéria,1884037.57,1507231.63,376805.94
Janeiro,Santana Do Acaraú,1167046.23,933638.84,233407.39
Janeiro,Santana Do Cariri,879553.04,703643.96,175909.08
Janeiro,Senador Pompeu,1831964.06,1465572.76,366391.3
Janeiro,Senador Sá,1333121.98,1066498.8,266623.18
Janeiro,Sobral,11306094.41,9044875.23,2261219.18
Janeiro,Solonópole,1748083.08,1398466.76,349616.32
Janeiro,São Benedito,1510596.97,1208478.7,302118.27
Janeiro,São Gonçalo Do Amarante,20905818.12,16724654.45,4181163.67
Janeiro,São João Do Jaguaribe,968968.19,775176.04,193792.15
Janeiro,São Luís Do Curu,762136.72,609710.79,152425.93
Janeiro,Tabuleiro Do Norte,1367008.41,1093608.2,273400.21
Janeiro,Tamboril,1172741.65,938194.6,234547.05
Janeiro,Tarrafas,973927.75,779143.82,194783.93
Janeiro,Tauá,1750637.41,1400510.28,350127.13
Janeiro,Tejuçuoca,705503.03,564403.81,141099.22
Janeiro,Tianguá,2936934.0,2349547.91,587386.09
Janeiro,Trairi,2898827.35,2319062.34,579765.01
Janeiro,Tururu,934516.88,747615.09,186901.79
Janeiro,Ubajara,1879213.16,1503371.74,375841.42
Janeiro,Umari,1098995.77,879197.52,219798.25
Janeiro,Umirim,836254.36,669005.26,167249.1
Janeiro,Uruburetama,882163.52,705731.96,176431.56
Janeiro,Uruoca,2059553.71,1647643.76,411909.95
Janeiro,Varjota,1296548.19,1037240.23,259307.96
Janeiro,Viçosa Do Ceará,1002643.37,802115.73,200527.64
Janeiro,Várzea Alegre,1364822.04,1091859.03,272963.01
Fevereiro,Abaiara,772576.64,618062.31,154514.33
Fevereiro,Acarapé,882239.44,705792.21,176447.23
Fevereiro,Acaraú,2284831.99,1827866.79,456965.2
Fevereiro,Acopiara,854868.07,683895.16,170972.91
Fevereiro,Aiuaba,778120.1,622497.04,155623.06
Fevereiro,Alcântaras,870922.88,696739.19,174183.69
Fevereiro,Altaneira,985574.61,788460.53,197114.08
Fevereiro,Alto Santo,1066548.46,853239.55,213308.91
Fevereiro,Amontada,1406597.1,1125278.64,281318.46
Fevereiro,Antonina Do Norte,983097.39,786479.4,196617.99
Fevereiro,Apuiarés,626352.4,501083.64,125268.76
Fevereiro,Aquiraz,8684565.16,6947652.7,1736912.46
Fevereiro,Aracati,3909645.66,3127717.26,781928.4
Fevereiro,Aracoiaba,783302.48,626642.92,156659.56
Fevereiro,Ararendá,1005958.85,804768.28,201190.57
Fevereiro,Araripe,702861.0,562290.06,140570.94
Fevereiro,Aratuba,770049.23,616040.38,154008.85
Fevereiro,Arneiroz,732447.63,585959.53,146488.1
Fevereiro,Assaré,956191.65,764954.76,191236.89
Fevereiro,Aurora,806097.42,644878.55,161218.87
Fevereiro,Baixio,880469.63,704376.13,176093.5
Fevereiro,Banabuiú,1112203.86,889763.98,222439.88
Fevereiro,Barbalha,2775994.81,2220796.53,555198.28
Fevereiro,Barreira,901521.61,721218.4,180303.21
Fevereiro,Barro,653241.06,522593.88,130647.18
Fevereiro,Barroquinha,877841.27,702273.98,175567.29
Fevereiro,Baturité,992643.89,794116.07,198527.82
Fevereiro,Beberibe,2063571.27,1650858.55,412712.72
Fevereiro,Bela Cruz,915378.73,732303.96,183074.77
Fevereiro,Boa Viagem,1274842.03,1019875.26,254966.77
Fevereiro,Brejo Santo,2247683.24,1798147.42,449535.82
Fevereiro,Camocim,1761724.76,1409380.67,352344.09
Fevereiro,Campos Sales,893352.01,714682.35,178669.66
Fevereiro,Canindé,1711162.41,1368931.12,342231.29
Fevereiro,Capistrano,767892.49,614315.13,153577.36
Fevereiro,Caridade,1299360.52,1039489.63,259870.89
Fevereiro,Caririaçu,849605.64,679685.3,169920.34
Fevereiro,Cariré,1054290.67,843433.24,210857.43
Fevereiro,Cariús,887081.47,709666.2,177415.27
Fevereiro,Carnaubal,919701.25,735761.95,183939.3
Fevereiro,Cascavel,2203287.87,1762631.19,440656.68
Fevereiro,Catarina,770140.65,616113.37,154027.28
Fevereiro,Catunda,883116.71,706493.99,176622.72
Fevereiro,Caucaia,14699050.73,11759241.23,2939809.5
Fevereiro,Cedro,989903.14,791924.03,197979.11
Fevereiro,Chaval,700803.27,560643.63,140159.64
Fevereiro,Chorozinho,971590.25,777273.69,194316.56
Fevereiro,Choró,1127358.35,901888.27,225470.08
Fevereiro,Coreaú,1061715.77,849373.73,212342.04
Fevereiro,Crateús,1469538.69,1175631.87,293906.82
Fevereiro,Crato,3655567.84,2924455.04,731112.8
Fevereiro,Croatá,909585.37,727669.52,181915.85
Fevereiro,Cruz,1291831.05,1033466.26,258364.79
Fevereiro,Deputado Irapuan Pinheiro,1028023.4,822419.63,205603.77
Fevereiro,Ererê,1084112.04,867290.63,216821.41
Fevereiro,Eusébio,9112555.11,7290044.87,1822510.24
Fevereiro,Farias Brito,894822.58,715859.33,178963.25
Fevereiro,Forquilha,1476778.07,1181423.67,295354.4
Fevereiro,Fortaleza,99043712.49,79234778.53,19808933.96
Fevereiro,Fortim,1294144.37,1035316.81,258827.56
Fevereiro,Frecheirinha,1276787.54,1021431.68,255355.86
Fevereiro,General Sampaio,867246.6,693797.88,173448.72
Fevereiro,Granja,987126.49,789702.25,197424.24
Fevereiro,Granjeiro,695953.34,556764.29,139189.05
Fevereiro,Graça,985649.0,788520.0,197129.0
Fevereiro,Groaíras,892951.55,714362.11,178589.44
Fevereiro,Guaiúba,855879.55,684704.67,171174.88
Fevereiro,Guaraciaba Do Norte,1090786.7,872630.3,218156.4
Fevereiro,Guaramiranga,748696.74,598957.99,149738.75
Fevereiro,Hidrolândia,919899.42,735920.64,183978.78
Fevereiro,Horizonte,6995210.74,5596168.44,1399042.3
Fevereiro,Ibaretama,895281.29,716226.09,179055.2
Fevereiro,Ibiapina,924264.05,739412.42,184851.63
