codigo_municipio,municipio,vaf_2023,vaf_2024,media_vaf,indice_vaf,indice_educacao,indice_saude,indice_meio_ambiente,indice_2026
3956,CHOROZINHO,78330087.27,82153901.54,80241994.4,0.0424515,0.1135218,0.0651376,0.0115101,0.232621
4004,COREAU,42821906.91,53649644.52,48235775.71,0.025519,0.156785,0.0603851,0.0115101,0.2541992
4103,CRATEUS,284256512.38,317572735.81,300914624.09,0.1591915,0.1157251,0.0654145,0.0115101,0.3518412
4202,CRATO,1186659753.02,1405373463.6,1296016608.31,0.68562,0.102075,0.0760214,0.0115101,0.8752265
4236,CROATA,28690042.23,34544654.58,31617348.4,0.0167245,0.1277084,0.0618327,0.0115101,0.2177757
4251,CRUZ,186902136.55,205163740.28,196032938.41,0.1037075,0.1394414,0.0557859,0.0103592,0.309294
4269,DEPUTADO IRAPUAN PINHEIRO,22440920.71,28802661.46,25621791.08,0.0135525,0.135576,0.0854938,0.0115101,0.2461324
4277,ERERE,11512739.13,11447786.4,11480262.76,0.006071,0.1100334,0.131947,0.0115101,0.2595615
4285,EUSEBIO,3473750358.87,4163293837.93,3818522098.4,2.0200895,0.0843441,0.0669609,0.0103592,2.1817537
4301,FARIAS BRITO,27667762.56,33949580.12,30808671.34,0.0162955,0.1157936,0.0706418,0.0115101,0.214241
4350,FORQUILHA,225058364.88,252447149.78,238752757.33,0.126308,0.1497038,0.0660526,0.0115101,0.3535745
4400,FORTALEZA,44087689647.18,45069479058.31,44578584352.74,23.583118,0.0546805,0.0647923,0.0107045,23.7132953
4459,FORTIM,161245015.99,188570428.35,174907722.17,0.0925275,0.1010455,0.1047648,0.0115101,0.3098479
4509,FRECHEIRINHA,261123751.16,301190286.68,281157018.92,0.1487395,0.086395,0.0590477,0.0115101,0.3056923
4608,GENERAL SAMPAIO,13937000.94,11766355.42,12851678.18,0.006799,0.1003539,0.0889759,0.0115101,0.2076389
4657,GRACA,17949348.41,21338714.22,19644031.31,0.0103935,0.1226226,0.0914608,0.0115101,0.235987
4707,GRANJA,88453617.5,122710248.1,105581932.8,0.0558545,0.1145387,0.0544374,0.0115102,0.2363408
4806,GRANJEIRO,5282655.88,6560384.25,5921520.06,0.003198,0.0852066,0.0667126,0.0115101,0.1666273
4905,GROAIRAS,22431743.92,28644542.51,25538143.21,0.0135135,0.1098925,0.078877,0.0115101,0.2137931
4954,GUAIUBA,85493404.7,115720133.31,100606769.0,0.053222,0.0667981,0.0733872,0.0115101,0.2049174
5001,GUARACIABA DO NORTE,142312297.19,169074558.05,155693427.62,0.082368,0.105154,0.0621273,0.0115101,0.2611594
5100,GUARAMIRANGA,22577555.78,26235216.22,24406386.0,0.012909,0.1077292,0.047107,0.0115101,0.1792553
5209,HIDROLANDIA,29303295.2,39791545.12,34547420.16,0.018278,0.1163739,0.0740831,0.0115101,0.2202451
5233,HORIZONTE,2708832649.04,2862910833.53,2785871741.28,1.4737905,0.1202766,0.0692359,0.0115101,1.6748131
5266,IBARETAMA,34034061.16,35380580.13,34707320.64,0.0183625,0.0701369,0.1143415,0.0115101,0.214351
5308,IBIAPINA,82898799.27,101556499.99,92227649.63,0.048789,0.1010946,0.0604717,0.0109347,0.22129
5332,IBICUITINGA,34778503.88,29518030.31,32148267.09,0.017004,0.1025565,0.1219954,0.0115101,0.253066
5357,ICAPUI,1172885663.46,1238094355.29,1205490009.37,0.6377345,0.069073,0.0809209,0.0040286,0.791757
5407,ICO,285081221.36,271948497.95,278514859.65,0.147342,0.0609392,0.0754275,0.0115101,0.2952188
5506,IGUATU,1001135173.03,1097463170.13,1049299171.58,0.5551065,0.0443061,0.0803843,0.0115101,0.691307
5605,INDEPENDENCIA,43877918.98,91285012.84,67581465.91,0.03575,0.1130732,0.0594607,0.0115101,0.219794
5654,IPAPORANGA,17339744.59,19672819.4,18506281.99,0.009789,0.1328646,0.0834568,0.0115101,0.2376205
5704,IPAUMIRIM,42412394.81,44942420.32,43677407.56,0.0231075,0.1126225,0.1083413,0.0115101,0.2555814
5803,IPU,128974511.98,141319005.75,135146758.86,0.0714935,0.0748831,0.0624878,0.0115101,0.2203745
5902,IPUEIRAS,57214388.98,62689303.02,59951846.0,0.0317135,0.1444231,0.073374,0.0115102,0.2610208
6009,IRACEMA,84044672.9,72389105.66,78216889.28,0.041379,0.090619,0.1049058,0.0115101,0.2484139
6108,IRAUCUBA,56010274.96,54874487.43,55442381.19,0.029328,0.1153085,0.0577466,0.0115101,0.2138932
6207,ITAICABA,20835488.11,23768307.87,22301897.99,0.0117975,0.0894868,0.1115979,0.0115101,0.2243923
6256,ITAITINGA,1614216626.56,2318294088.41,1966255357.48,1.040195,0.0728134,0.066697,0.0115101,1.1912155
6306,ITAPAJE,159660102.02,164910485.73,162285293.87,0.085852,0.0785092,0.066477,0.0115101,0.2423483
6405,ITAPIPOCA,875549165.18,861523020.98,868536093.08,0.4594785,0.0756261,0.0682818,0.0115101,0.6148965
6504,ITAPIUNA,26087930.61,32246755.67,29167343.14,0.015431,0.0897529,0.0760312,0.0115102,0.1927253
6553,ITAREMA,450895102.17,470519965.08,460707533.62,0.243724,0.0838386,0.0690145,0.0115101,0.4080872
6603,ITATIRA,30324484.94,35077056.48,32700770.71,0.0172965,0.1071174,0.1210167,0.0115102,0.2569408
6702,JAGUARETAMA,50327513.42,102913163.63,76620338.52,0.040534,0.1142195,0.0760955,0.0115101,0.2423591
6801,JAGUARIBARA,47557960.43,55864464.84,51711212.63,0.0273585,0.0961541,0.0831879,0.0115101,0.2182106
6900,JAGUARIBE,255416127.07,324610040.79,290013083.93,0.153426,0.0906753,0.0838752,0.0115101,0.3394866
7007,JAGUARUANA,212955212.74,275326183.47,244140698.1,0.129155,0.0977678,0.1001819,0.0115101,0.3386148
7106,JARDIM,45616877.08,50064019.07,47840448.07,0.025311,0.05451,0.0842229,0.0103592,0.1744031
7205,JATI,18742576.33,21662405.91,20202491.12,0.010686,0.0433294,0.0920389,0.0115101,0.1575644
7254,JIJOCA DE JERICOACOARA,224453507.17,240149128.77,232301317.97,0.1228955,0.1285348,0.0700554,0.0115101,0.3329958
7304,JUAZEIRO DO NORTE,2626275321.43,3046667365.74,2836471343.58,1.5005575,0.0457937,0.0872106,0.0115101,1.6450719
7403,JUCAS,158050393.37,195321368.22,176685880.79,0.09347,0.0827858,0.0843495,0.0115101,0.2721154
7502,LAVRAS DA MANGABEIRA,51305651.69,61960390.99,56633021.34,0.0299585,0.0593192,0.0905699,0.0115101,0.1913577
7601,LIMOEIRO DO NORTE,939474881.72,1139154951.36,1039314916.54,0.549822,0.1005693,0.0989434,0.0115101,0.7608448
7635,MADALENA,31516294.45,47590490.49,39553392.47,0.0209235,0.1216833,0.1242894,0.0115101,0.2784063
7650,MARACANAU,10796341853.54,12087203493.94,11441772673.74,6.052969,0.0728849,0.0635658,0.0026474,6.1920671
7700,MARANGUAPE,1067931686.64,1170745166.84,1119338426.74,0.5921565,0.0673404,0.0615396,0.0115101,0.7325466
7809,MARCO,142920912.67,175790681.0,159355796.83,0.084305,0.1149581,0.0641133,0.0115101,0.2748865
7908,MARTINOPOLE,14722162.04,18899938.28,16811050.16,0.008892,0.1125547,0.0848467,0.0097837,0.2160771
8005,MASSAPE,156384927.14,166810182.66,161597554.9,0.085488,0.120917,0.0674193,0.0115101,0.2853344
8104,MAURITI,114817250.23,148587156.54,131702203.38,0.0696735,0.0739938,0.0848849,0.0115101,0.2400623
8203,MERUOCA,18417542.05,24072676.84,21245109.44,0.0112385,0.1494797,0.0602014,0.0115102,0.2324298
8302,MILAGRES,53205921.34,63294406.28,58250163.81,0.0308165,0.0630837,0.074423,0.0115101,0.1798333
8351,MILHA,60763573.83,66019351.11,63391462.47,0.0335335,0.1426613,0.1382022,0.0115101,0.3259071
8377,MIRAIMA,11304555.14,10841081.94,11072818.54,0.0058565,0.0863408,0.0700392,0.0115102,0.1737467
8401,MISSAO VELHA,111249200.15,125706984.25,118478092.2,0.0626795,0.0593197,0.0835353,0.0109347,0.2164692
8500,MOMBACA,127979134.08,145789940.87,136884537.47,0.0724165,0.1142771,0.0682116,0.0115101,0.2664153
8609,MONSENHOR TABOSA,36835035.6,39658641.95,38246838.77,0.0202345,0.0912461,0.0749647,0.0115101,0.1979554
8708,MORADA NOVA,1070884252.05,975312553.0,1023098402.52,0.541242,0.0483589,0.0905876,0.0115101,0.6916986
8807,MORAUJO,7615006.77,10097132.75,8856069.76,0.0046865,0.1463078,0.0629071,0.0115102,0.2254116
8906,MORRINHOS,42053852.04,100233965.86,71143908.95,0.037635,0.1537267,0.0522958,0.0115102,0.2551677
9003,MUCAMBO,28511375.78,34438843.7,31475109.74,0.016653,0.1529108,0.055028,0.0115101,0.2361019
9102,MULUNGU,18486934.13,22232677.88,20359806.0,0.0107705,0.086782,0.0615256,0.0115101,0.1705882
9201,NOVA OLINDA,59705457.01,60210275.48,59957866.24,0.03172,0.1110415,0.0722194,0.0115101,0.226491
9300,NOVA RUSSAS,112653606.38,130265346.77,121459476.57,0.0642525,0.1437154,0.0648157,0.0115101,0.2842937
9409,NOVO ORIENTE,50505374.2,57187893.36,53846633.78,0.028483,0.1368662,0.068344,0.0115101,0.2452033
9458,OCARA,70358328.77,70354484.89,70356406.83,0.037219,0.0637113,0.0838223,0.0115101,0.1962627
9508,OROS,45402318.34,50555285.75,47978802.04,0.0253825,0.0976169,0.0644271,0.0115101,0.1989366
9607,PACAJUS,799704472.17,1047081689.95,923393081.06,0.4884945,0.0826984,0.0912636,0.0103592,0.6728157
9706,PACATUBA,1027842525.48,1101409722.13,1064626123.8,0.563212,0.0593899,0.0636241,0.0,0.686226
9805,PACOTI,25195157.17,29914906.41,27555031.79,0.0145795,0.0902249,0.0757341,0.0115101,0.1920486
9904,PACUJA,8774344.07,11202660.5,9988502.28,0.0052845,0.1322884,0.0740624,0.0115101,0.2231454
10001,PALHANO,24436181.28,31259210.11,27847695.69,0.014729,0.0488345,0.0939108,0.0086327,0.166107
10100,PALMACIA,18185532.55,17160885.69,17673209.12,0.009347,0.0848969,0.0781959,0.0115102,0.18395
10209,PARACURU,300451887.03,342079833.11,321265860.07,0.1699555,0.1022034,0.0798397,0.0005756,0.3525742
10258,PARAIPABA,223262850.2,306970427.11,265116638.65,0.1402505,0.1103834,0.0708437,0.0,0.3214776
10308,PARAMBU,55588407.98,66390385.32,60989396.65,0.032266,0.062332,0.1312329,0.0115101,0.237341
10407,PARAMOTI,15435190.26,16828521.73,16131855.99,0.0085345,0.1180018,0.1306071,0.0115101,0.2686535
10506,PEDRA BRANCA,89152316.55,113856891.21,101504603.88,0.0536965,0.1495625,0.1289853,0.0115101,0.3437544
10605,PENAFORTE,29660631.72,31920375.12,30790503.42,0.016289,0.047843,0.0956345,0.0115101,0.1712766
10704,PENTECOSTE,139601143.61,152756912.47,146179028.04,0.0773305,0.0869877,0.0743377,0.0115101,0.250166
10803,PEREIRO,79286269.39,108015585.07,93650927.23,0.049543,0.1126473,0.0947695,0.0109347,0.2678945
10852,PINDORETAMA,104440420.12,119281278.82,111860849.47,0.059176,0.0703884,0.0750818,0.0115101,0.2161563
10902,PIQUET CARNEIRO,36987509.54,36433362.31,36710435.92,0.019422,0.1658099,0.1007112,0.0115101,0.2974532
10951,PIRES FERREIRA,8027216.25,10460148.62,9243682.43,0.004888,0.1183298,0.0708734,0.0115102,0.2056014
11009,PORANGA,19097769.51,23594300.05,21346034.78,0.0112905,0.104856,0.1120542,0.0103592,0.2385599
11108,PORTEIRAS,28513957.86,36603739.85,32558848.85,0.017225,0.0985784,0.0922726,0.0115101,0.2195861
11207,POTENGI,15871441.39,18409317.25,17140379.32,0.0090675,0.1052327,0.0785932,0.0115101,0.2044035
11231,POTIRETAMA,10323633.28,12121051.96,11222342.62,0.0059345,0.1361713,0.1143667,0.0051797,0.2616522
11264,QUITERIANOPOLIS,38188784.12,41375453.13,39782118.62,0.021047,0.1447312,0.0787695,0.0115102,0.2560579
11306,QUIXADA,498887013.78,559287245.27,529087129.52,0.2798965,0.0929676,0.1284098,0.0115101,0.512784
11355,QUIXELO,56322224.94,76331561.71,66326893.32,0.035087,0.0778135,0.0893508,0.0115101,0.2137614
11405,QUIXERAMOBIM,879542206.81,925055575.06,902298890.93,0.4773405,0.140179,0.1237254,0.0115101,0.752755
11504,QUIXERE,1134652242.8,971519783.55,1053086013.17,0.5571085,0.0808507,0.0971007,0.0115101,0.74657
11603,REDENCAO,121037447.97,134401371.99,127719409.98,0.0675675,0.0847632,0.0673291,0.0115101,0.2311699
11702,RERIUTABA,44212717.6,56029417.95,50121067.77,0.0265135,0.1500739,0.0638669,0.0115101,0.2519644
11801,RUSSAS,625273589.15,651777770.75,638525679.95,0.337792,0.0977569,0.0935199,0.0115101,0.5405789
11900,SABOEIRO,26009861.68,28138124.63,27073993.15,0.014326,0.0669192,0.0565903,0.0115101,0.1493456
11959,SALITRE,41105432.05,37460826.35,39283129.2,0.0207805,0.1180969,0.0744297,0.0115101,0.2248172
12205,SANTA QUITERIA,414059960.82,494754074.81,454407017.81,0.2403895,0.0878968,0.0520372,0.0115101,0.3918336
12007,SANTANA DO ACARAU,58094352.74,123899857.66,90997105.2,0.048139,0.1286213,0.0544467,0.0115102,0.2427172
12106,SANTANA DO CARIRI,18489774.3,22934550.85,20712162.57,0.010959,0.091294,0.0691626,0.0115101,0.1829257
12304,SAO BENEDITO,198898925.23,244510147.18,221704536.2,0.117286,0.1217339,0.0636372,0.0115101,0.3141672
12403,SAO GONCALO DO AMARANTE,8383809885.97,7450286749.14,7917048317.55,4.1883075,0.0844388,0.064216,0.0109347,4.347897
12502,SAO JOAO DO JAGUARIBE,12295038.31,11623463.47,11959250.89,0.0063245,0.094179,0.0895081,0.0115101,0.2015217
12601,SAO LUIS DO CURU,53208598.73,63368031.07,58288314.9,0.030836,0.044752,0.0714078,0.0115101,0.1585059
12700,SENADOR POMPEU,230465971.13,200089773.29,215277872.21,0.1138865,0.1190817,0.1365254,0.0115101,0.3810037
12809,SENADOR SA,9452295.5,11095200.61,10273748.05,0.005434,0.1638874,0.0987272,0.0092082,0.2772568
12908,SOBRAL,3909642703.7,4295654034.72,4102648369.21,2.1703955,0.1073155,0.0621691,0.0115101,2.3513902
