municipio,municipio_chave,mes,indice_2026,base_icms,repasse_calculado,fundeb_calculado,liquido_calculado,repasse_sefaz,fundeb_sefaz,repasse_liquido_sefaz,diferenca,erro_absoluto,erro_percentual
ALTANEIRA,ALTANEIRA,Fevereiro,0.2359692,1670684530.04,985575.2300147869,197115.0460029574,788460.1840118296,985574.61,197114.08,788460.53,-0.6200147869531065,0.6200147869531065,6.290896505066284e-05
ALTANEIRA,ALTANEIRA,Março,0.2359692,1678479898.09,990173.896920947,198034.7793841894,792139.1175367576,990172.81,198033.39,792139.42,-1.0869209469528869,1.0869209469528869,0.00010977083353287461
ALTANEIRA,ALTANEIRA,Abril,0.2359692,1853353143.2,1093335.6462959736,218667.1292591947,874668.5170367789,1093334.71,218665.79,874668.92,-0.9362959736026824,0.9362959736026824,8.563671902474242e-05
ALTANEIRA,ALTANEIRA,Maio,0.2359692,1854938665.46,1094270.9823441596,218854.19646883194,875416.7858753278,1094269.77,218852.08,875417.69,-1.2123441596049815,1.2123441596049815,0.00011079024504213266
ALTANEIRA,ALTANEIRA,Junho,0.2359692,1934205596.72,1141032.3682338526,228206.47364677052,912825.8945870821,1102603.49,220518.95,882084.54,-38428.87823385256,38428.87823385256,3.485285379774425
ALTO SANTO,ALTO SANTO,Janeiro,0.2553562,1923303904.52,1227818.941258475,245563.788251695,982255.15300678,1227817.89,245562.1,982255.79,-1.0512584750540555,1.0512584750540555,8.562006496371018e-05
ALTO SANTO,ALTO SANTO,Fevereiro,0.2553562,1670684530.04,1066549.1324745005,213309.8264949001,853239.3059796004,1066548.46,213308.91,853239.55,-0.6724745004903525,0.6724745004903525,6.30514717062507e-05
ALTO SANTO,ALTO SANTO,Março,0.2553562,1678479898.09,1071525.621381624,214305.1242763248,857220.4971052991,1071525.23,214303.76,857221.47,-0.3913816239219159,0.3913816239219159,3.652565641612712e-05
ALTO SANTO,ALTO SANTO,Abril,0.2553562,1853353143.2,1183163.0397640194,236632.6079528039,946530.4318112156,1183162.62,236631.12,946531.5,-0.41976401931606233,0.41976401931606233,3.5478133962351034e-05
ALTO SANTO,ALTO SANTO,Maio,0.2553562,1854938665.46,1184175.222112342,236835.0444224684,947340.1776898736,1184174.38,236833.28,947341.1,-0.8421123421285301,0.8421123421285301,7.111387953930655e-05
ALTO SANTO,ALTO SANTO,Junho,0.2553562,1934205596.72,1234778.477992879,246955.6955985758,987822.7823943032,1227465.34,245491.16,981974.18,-7313.13799287891,7313.13799287891,0.595791812164644
AMONTADA,AMONTADA,Janeiro,0.3367715,1923303904.52,1619284.852202643,323856.9704405286,1295427.8817621144,1619284.36,323855.83,1295428.53,-0.49220264283940196,0.49220264283940196,3.0396306849984144e-05
